TodayDate,Stonk,NextExpDate,OpenPrice,LowPrice,ClosePrice,HighPrice,Volume,VolumeIncrease%,Call-MaxOpenInterest,Call-StrikePrice,Put-MaxOpenInterest,Put-StrikePrice,UpFromYesterday,UpToday,CloseSplitsStrikes
07/26/22,FAST,08-19-2022,47.83,47.43,47.71,47.96,3271656,-6.05%,1283,55.0,874,50.0,-1.22%,-0.25%,False
07/26/22,FTCH,08-19-2022,7.81,7.29,7.43,7.825,7358468,-34.47%,21143,10.0,4122,7.0,-8.04%,-4.87%,False
07/26/22,GDX,07-29-2022,24.6605,24.66,25.1,25.17,21849384,3.88%,8767,27.0,7918,25.0,2.07%,1.78%,True
07/26/22,GILD,07-29-2022,60.7,60.32,60.62,61.25,5597220,1.60%,703,62.0,945,60.0,-0.21%,-0.13%,True
07/26/22,GLOB,08-19-2022,186.74,181.44,183.43,186.74,164148,-33.33%,266,220.0,403,155.0,-2.08%,-1.77%,True
07/26/22,GOOG,07-29-2022,107.43,104.76,105.44,107.74,36626630,13.71%,12129,125.0,6489,94.0,-2.56%,-1.85%,False
07/26/22,GOOGL,07-29-2022,106.6,104.07,105.02,107.2,47990963,20.70%,19084,120.0,8355,115.0,-2.32%,-1.48%,False
07/26/22,GOOS,07-29-2022,18.48,17.56,17.6,18.525,1099768,4.73%,129,20.0,407,15.0,-7.17%,-4.76%,True
07/26/22,HD,07-29-2022,297,295.91,298.18,300.635,2690206,12.58%,1243,310.0,726,285.0,-2.60%,0.40%,True
07/26/22,INCY,08-19-2022,80.45,79.65,79.84,81.065,1343016,-37.95%,360,90.0,251,75.0,-0.97%,-0.76%,True
07/26/22,INMD,08-19-2022,27.71,27.41,27.77,28.02,991105,-44.33%,4088,30.0,2614,30.0,-0.93%,0.22%,False
07/26/22,INTC,07-29-2022,39.1,38.88,38.96,39.565,35925485,-1.94%,9795,40.0,15383,37.0,-0.51%,-0.36%,True
07/26/22,ISRG,07-29-2022,218.11,214.08,216.79,219.92,2376861,-17.95%,727,300.0,793,125.0,-1.09%,-0.61%,True
07/26/22,JD,07-29-2022,63.38,62.63,62.97,64.66,4336267,-9.40%,1522,59.0,1535,62.0,-0.02%,-0.65%,False
07/26/22,LCID,07-29-2022,18.48,17.89,18.09,18.565,11087872,-21.80%,9667,21.0,3120,19.0,-3.47%,-2.11%,False
07/26/22,LOW,07-29-2022,188.18,187.605,188.6,190.97,3647204,27.23%,1575,195.0,796,162.5,-3.18%,0.22%,True
07/26/22,LSPD,08-19-2022,18.61,17.62,17.91,18.68,1013489,-21.10%,1875,25.0,629,25.0,-6.18%,-3.76%,False
07/26/22,LULU,07-29-2022,293.75,281.5701,283.41,294.53,1618447,97.25%,1364,430.0,287,180.0,-5.94%,-3.52%,True
07/26/22,MDLZ,07-29-2022,62.45,61.97,62.94,63.095,7701101,23.13%,936,64.0,1583,61.0,0.29%,0.78%,True
07/26/22,MELI,07-29-2022,740.49,720.8408,727.79,743.85,550376,-4.87%,180,800.0,405,550.0,-4.59%,-1.72%,True
07/26/22,MP,08-19-2022,30.78,30.18,30.23,31.2,15132675,480.28%,2991,35.0,3050,25.0,-3.02%,-1.79%,True
07/26/22,MRK,07-29-2022,91.4,90.6,91.29,91.95,6414143,-24.39%,1430,96.0,1519,88.0,0.84%,-0.12%,True
07/26/22,MRNA,07-29-2022,166.3,159.905,160.9,166.3,2884682,-6.58%,1717,200.0,1078,140.0,-2.89%,-3.25%,True
07/26/22,MRO,07-29-2022,23.62,22.645,22.91,23.8,11630468,-12.01%,6577,25.0,1074,16.0,-1.16%,-3.01%,True
07/26/22,MRVL,07-29-2022,50.5001,48.97,49.48,50.97,7512308,-27.83%,1299,56.0,639,34.0,-2.43%,-2.02%,True
07/26/22,MSFT,07-29-2022,259.86,249.57,251.9,259.88,39347957,68.06%,10382,270.0,9368,230.0,-2.68%,-3.06%,True
07/26/22,MU,07-29-2022,60.31,59.55,59.66,60.685,11044824,-34.17%,6870,64.0,3280,60.0,-0.81%,-1.08%,False
07/26/22,NFLX,07-29-2022,216.66,211.64,213.91,219.39,9508532,-60.12%,4683,250.0,4933,200.0,-2.11%,-1.27%,True
07/26/22,NTES,07-29-2022,96.99,93.57,94.33,98.66,1751605,-14.63%,1062,95.0,1044,80.0,-2.56%,-2.74%,True
07/26/22,NVDA,07-29-2022,168.89,164.78,165.33,169.19,39786491,-31.97%,9332,180.0,9017,165.0,-2.88%,-2.11%,True
07/26/22,OKTA,07-29-2022,98.94,91.03,91.17,98.94,1877686,0.15%,530,150.0,263,96.0,-8.04%,-7.85%,True
07/26/22,ORLY,08-19-2022,676.51,672.46,675.35,681.91,556577,44.86%,438,790.0,331,500.0,-1.44%,-0.17%,True
07/26/22,OXY,07-29-2022,65.79,61.78,62.07,66.05,20190773,9.80%,5034,65.0,15940,50.0,-3.63%,-5.65%,True
07/26/22,PDD,07-29-2022,56.24,54.413,55.16,56.8,4569791,-35.74%,2856,80.0,6389,50.0,-1.87%,-1.92%,True
07/26/22,PTON,07-29-2022,9.31,8.59,8.71,9.31,10864533,-22.28%,5379,11.0,2639,9.0,-8.80%,-6.44%,True
07/26/22,PYPL,07-29-2022,80.0304,76.71,77.04,80.22,13245434,-2.57%,13297,85.0,14646,60.0,-5.65%,-3.74%,True
07/26/22,QCOM,07-29-2022,152.62,149.81,149.97,152.7,5941787,-28.45%,2086,140.0,3433,130.0,-2.14%,-1.74%,False
07/26/22,RBLX,07-29-2022,39.44,37.86,39,39.54,15668548,-33.87%,3387,45.0,2288,35.0,-2.11%,-1.12%,True
07/26/22,REGN,08-19-2022,587.57,580,582.56,594.68,456210,-10.53%,649,760.0,1131,340.0,-0.80%,-0.85%,True
07/26/22,ROST,07-29-2022,78.42,77.67,77.96,79.43,3430117,52.00%,692,78.0,722,70.0,-5.65%,-0.59%,True
07/26/22,RRC,07-29-2022,32.68,32.41,33.1,33.92,6263520,52.40%,533,33.0,206,28.0,3.99%,1.29%,False
07/26/22,SBUX,07-29-2022,81.215,80,80.3,81.42,6587009,2.48%,1175,85.0,906,83.0,-1.47%,-1.13%,False
07/26/22,SE,07-29-2022,74,71.28,71.82,74,3901085,-26.52%,3122,73.0,660,70.0,-4.42%,-2.95%,True
07/26/22,SGEN,08-19-2022,174.14,174.14,177.51,181.75,1637879,65.01%,2317,200.0,3969,150.0,2.70%,1.94%,True
07/26/22,SHOP,07-29-2022,31.81,30.55,31.55,31.95,65071885,118.43%,7948,40.0,3554,35.0,-14.06%,-0.82%,False
07/26/22,SIRI,07-29-2022,6.38,6.37,6.38,6.49,15721098,3.05%,557,6.0,1670,6.5,0.00%,0.00%,True
07/26/22,SMH,07-29-2022,224.71,221.3,221.97,225.44,2130633,-51.04%,4047,235.0,5026,180.0,-1.51%,-1.22%,True
07/26/22,SNAP,07-29-2022,9.78,9.63,9.63,9.93,94591194,-11.81%,36840,11.0,17896,10.0,-3.22%,-1.53%,False
07/26/22,SNPS,08-19-2022,338.58,335.73,339.41,343.31,1048196,29.19%,972,360.0,651,300.0,0.52%,0.25%,True
07/26/22,SPLK,07-29-2022,103.2,97.94,98.63,103.61,2489082,48.60%,970,110.0,1685,60.0,-4.58%,-4.43%,False
07/26/22,SQ,07-29-2022,69.09,65.9,66.39,69.23,10924142,-21.38%,2814,80.0,17235,45.0,-7.06%,-3.91%,True
07/26/22,SWKS,07-29-2022,104.88,102.57,102.87,104.88,1871472,14.38%,537,100.0,278,94.0,-2.81%,-1.92%,True
07/26/22,TDG,08-19-2022,586.21,581.22,586.25,590.43,245346,-5.99%,126,650.0,1092,260.0,0.02%,0.01%,True
07/26/22,TEAM,07-29-2022,194.79,184.36,187.61,194.8,1649999,-6.94%,478,230.0,1237,115.0,-4.31%,-3.69%,True
07/26/22,TGT,07-29-2022,149.725,149.5,151.81,152.624,4619986,41.77%,1690,155.0,2866,142.0,-3.61%,1.39%,True
07/26/22,TJX,07-29-2022,60.97,60.355,60.66,61.2999,7473617,37.44%,1844,62.0,529,62.5,-4.16%,-0.51%,False
07/26/22,TSLA,07-29-2022,799.54,768.79,776.58,801.9299,22273586,-25.94%,14995,850.0,14536,700.0,-3.57%,-2.87%,True
07/26/22,TSM,07-29-2022,84.76,83.845,84.42,85.2,6977686,-29.68%,1265,90.0,965,80.0,-2.18%,-0.40%,True
07/26/22,TSN,08-19-2022,83.12,83.07,84.21,84.4,1349840,-10.91%,1032,87.5,2010,55.0,0.62%,1.31%,True
07/26/22,TWTR,07-29-2022,39.08,38.89,39.34,39.53,12637219,-31.10%,9410,40.0,9690,39.0,0.25%,0.67%,True
07/26/22,U,07-29-2022,34.8,33.02,33.52,34.99,9748230,-23.07%,1803,40.0,3128,34.0,-5.68%,-3.68%,False
07/26/22,URI,07-29-2022,275.53,272.98,276.21,278.64,627243,-23.76%,842,360.0,1744,155.0,-0.58%,0.25%,True
07/26/22,VRTX,07-29-2022,284.14,283.6963,288.22,290.73,1534078,6.27%,61,305.0,83,280.0,1.60%,1.44%,True
07/26/22,WDAY,07-29-2022,145.26,140.425,140.91,145.26,2241950,10.81%,983,235.0,8103,125.0,-3.11%,-2.99%,True
07/26/22,WMT,07-29-2022,121.13,120.06,121.98,122.69,31797182,438.92%,1244,133.0,12136,130.0,-7.60%,0.70%,False
07/26/22,WSM,08-19-2022,132.79,131.56,133.68,135.64,1062426,-6.14%,1950,150.0,754,95.0,-2.03%,0.67%,False
07/26/22,XBI,07-29-2022,80.99,79.65,81.3,83,9194158,-13.45%,16417,90.0,7028,81.5,0.44%,0.38%,False
07/26/22,XEL,08-19-2022,69.87,69.7,70.21,70.64,2769079,-13.54%,1156,70.0,464,70.0,1.08%,0.49%,False
07/26/22,XME,07-29-2022,45.21,44.59,45.16,45.76,2300539,-42.58%,1456,46.5,500,40.0,-0.15%,-0.11%,True
07/26/22,XOM,07-29-2022,91.13,89,89.63,91.28,15141195,-15.79%,6018,93.0,2744,83.0,-0.39%,-1.65%,True
07/26/22,XOM,07-29-2022,91.13,89,89.63,91.28,15141195,-15.79%,6018,93.0,2744,83.0,-0.39%,-1.65%,True
07/26/22,ZM,07-29-2022,105.03,100.01,100.33,105.13,2878190,-22.62%,1380,120.0,3011,65.0,-5.44%,-4.47%,False
07/26/22,AA,07-29-2022,47.13,46.16,46.99,48.2247,5336657,-28.70%,922,50.0,1179,40.0,0.41%,-0.30%,True
07/26/22,AAP,08-19-2022,186,182.5,182.87,186.39,727577,13.61%,186,210.0,563,100.0,-3.56%,-1.68%,True
07/26/22,AAPL,07-29-2022,152.265,150.8,151.6,153.085,55138691,-21.37%,34113,160.0,45312,140.0,-0.88%,-0.44%,True
07/26/22,ACM,08-19-2022,68.62,68.395,69.27,69.685,563855,17.80%,1017,65.0,169,62.5,0.87%,0.95%,False
07/26/22,ADBE,07-29-2022,393.58,378.16,379.26,393.58,2368512,4.65%,780,405.0,577,360.0,-3.24%,-3.64%,True
07/26/22,ADI,07-29-2022,163.55,161.255,161.78,164.265,3151315,-1.51%,180,167.5,1862,155.0,-0.77%,-1.08%,True
07/26/22,ADP,07-29-2022,218.15,216.36,217.91,220,1559545,-2.52%,273,220.0,1424,155.0,-0.22%,-0.11%,True
07/26/22,ADSK,07-29-2022,196.34,192.17,193.07,196.92,1470666,-3.40%,845,295.0,817,115.0,-1.35%,-1.67%,True
07/26/22,ALGN,07-29-2022,253.16,247.11,251.86,253.16,1334959,48.35%,1277,400.0,1430,150.0,-0.08%,-0.51%,True
07/26/22,AMAT,07-29-2022,100.58,98.57,98.91,100.98,5073857,-21.39%,1807,92.0,1447,83.0,-2.07%,-1.66%,False
07/26/22,AMD,07-29-2022,87,84.71,85.25,87.749,69180367,-16.14%,13586,90.0,6158,85.0,-2.62%,-2.01%,True
07/26/22,AMGN,07-29-2022,249.63,248.75,251.14,253.765,2528642,5.99%,519,255.0,675,230.0,0.97%,0.60%,True
07/26/22,AMZN,07-29-2022,115.79,114.53,114.81,118.15,67075064,7.29%,22783,130.0,14101,100.0,-5.23%,-0.85%,True
07/26/22,APPS,07-29-2022,18.825,18.06,18.56,18.88,2145697,-12.53%,855,21.0,11914,16.0,-3.43%,-1.41%,True
07/26/22,ARKK,07-29-2022,44.77,43.411,43.47,44.78,19099251,-20.26%,7504,50.0,7807,40.0,-4.78%,-2.90%,True
07/26/22,ASML,07-29-2022,528.05,518.54,524.17,529.64,1029494,-36.32%,132,535.0,317,390.0,-2.75%,-0.73%,True
07/26/22,AVGO,07-29-2022,514.63,508.92,511.09,516.81,1795782,-9.08%,1792,830.0,482,330.0,-0.39%,-0.69%,True
07/26/22,AXON,08-19-2022,100.89,97.86,98.84,100.89,263859,0.41%,586,105.0,364,45.0,-2.52%,-2.03%,False
07/26/22,BA,07-29-2022,155.24,154.5,155.92,158.18,6053054,-35.91%,3159,165.0,3009,155.0,-0.46%,0.44%,True
07/26/22,BABA,07-29-2022,104.31,100.81,101.44,105.25,28004262,31.47%,9890,110.0,7426,90.0,0.38%,-2.75%,False
07/26/22,BIDU,07-29-2022,142.85,137.43,138.17,143.26,1768708,-9.42%,935,150.0,300,130.0,-1.48%,-3.28%,True
07/26/22,BIIB,07-29-2022,206.7,206.7,210.85,214.02,916183,-15.74%,210,215.0,209,195.0,1.58%,2.01%,True
07/26/22,BILI,07-29-2022,26.1,24.7278,24.96,26.16,3948895,-16.64%,720,35.0,1694,25.0,-3.63%,-4.37%,False
07/26/22,BKNG,07-29-2022,1820.63,1794.75,1795.8,1824.5525,300380,-25.82%,718,1945.0,722,1650.0,-2.12%,-1.36%,True
07/26/22,CHTR,07-29-2022,479.02,474.18,479.01,482.69,774051,-21.83%,205,490.0,1016,475.0,0.01%,0.00%,True
07/26/22,COIN,07-29-2022,61.69,52.63,52.93,62.89,26875839,52.59%,5555,80.0,5649,55.0,-21.08%,-14.20%,False
07/26/22,COST,07-29-2022,515,508.76,511.93,519.685,3334847,47.46%,1938,720.0,961,520.0,-3.25%,-0.60%,False
07/26/22,CPRT,08-19-2022,120.11,118.83,119.65,120.35,558398,-54.54%,404,125.0,404,115.0,-0.99%,-0.38%,True
07/26/22,CRWD,07-29-2022,182.17,168.1,169.17,182.61,3533736,35.41%,1313,200.0,572,180.0,-7.37%,-7.14%,False
07/26/22,CSCO,07-29-2022,44.37,43.75,43.83,44.54,19513029,15.48%,5429,45.0,3863,44.0,-1.15%,-1.22%,False
07/26/22,CUBE,08-19-2022,43.31,43.16,43.71,43.83,941112,-16.30%,3045,50.0,166,50.0,0.53%,0.92%,False
07/26/22,DOCS,08-19-2022,41.29,39.85,40.44,41.42,940837,-49.43%,6115,45.0,4380,40.0,-2.67%,-2.06%,True
07/26/22,DOCU,07-29-2022,63.41,59.88,60.21,63.41,2963758,-10.62%,890,70.0,1241,35.0,-5.03%,-5.05%,True
07/26/22,DWAC,07-29-2022,30.73,29.89,30.17,31.62,582634,-53.69%,2758,50.0,6713,20.0,-2.68%,-1.82%,True
07/26/22,EBAY,07-29-2022,45.39,45.245,45.66,45.79,3834191,-14.04%,3116,47.0,1200,38.5,-1.93%,0.59%,True
07/26/22,FAST,08-19-2022,47.83,47.43,47.71,47.96,3271656,-6.05%,1283,55.0,874,50.0,-1.22%,-0.25%,False
07/26/22,FTCH,08-19-2022,7.81,7.29,7.43,7.825,7358468,-34.47%,21143,10.0,4122,7.0,-8.04%,-4.87%,False
07/26/22,GDX,07-29-2022,24.6605,24.66,25.1,25.17,21849384,3.88%,8767,27.0,7918,25.0,2.07%,1.78%,True
07/26/22,GILD,07-29-2022,60.7,60.32,60.62,61.25,5597220,1.60%,703,62.0,945,60.0,-0.21%,-0.13%,True
07/26/22,GLOB,08-19-2022,186.74,181.44,183.43,186.74,164148,-33.33%,266,220.0,403,155.0,-2.08%,-1.77%,True
07/26/22,GOOG,07-29-2022,107.43,104.76,105.44,107.74,36626630,13.71%,12129,125.0,6489,94.0,-2.56%,-1.85%,False
07/26/22,GOOGL,07-29-2022,106.6,104.07,105.02,107.2,47990963,20.70%,19084,120.0,8355,115.0,-2.32%,-1.48%,False
07/26/22,GOOS,07-29-2022,18.48,17.56,17.6,18.525,1099768,4.73%,129,20.0,407,15.0,-7.17%,-4.76%,True
07/26/22,HD,07-29-2022,297,295.91,298.18,300.635,2690206,12.58%,1243,310.0,726,285.0,-2.60%,0.40%,True
07/26/22,INCY,08-19-2022,80.45,79.65,79.84,81.065,1343016,-37.95%,360,90.0,251,75.0,-0.97%,-0.76%,True
07/26/22,INMD,08-19-2022,27.71,27.41,27.77,28.02,991105,-44.33%,4088,30.0,2614,30.0,-0.93%,0.22%,False
07/26/22,INTC,07-29-2022,39.1,38.88,38.96,39.565,35925485,-1.94%,9795,40.0,15383,37.0,-0.51%,-0.36%,True
07/26/22,ISRG,07-29-2022,218.11,214.08,216.79,219.92,2376861,-17.95%,727,300.0,793,125.0,-1.09%,-0.61%,True
07/26/22,JD,07-29-2022,63.38,62.63,62.97,64.66,4336267,-9.40%,1522,59.0,1535,62.0,-0.02%,-0.65%,False
07/26/22,LCID,07-29-2022,18.48,17.89,18.09,18.565,11087872,-21.80%,9667,21.0,3120,19.0,-3.47%,-2.11%,False
07/26/22,LOW,07-29-2022,188.18,187.605,188.6,190.97,3647204,27.23%,1575,195.0,796,162.5,-3.18%,0.22%,True
07/26/22,LSPD,08-19-2022,18.61,17.62,17.91,18.68,1013489,-21.10%,1875,25.0,629,25.0,-6.18%,-3.76%,False
07/26/22,LULU,07-29-2022,293.75,281.5701,283.41,294.53,1618447,97.25%,1364,430.0,287,180.0,-5.94%,-3.52%,True
07/26/22,MDLZ,07-29-2022,62.45,61.97,62.94,63.095,7701101,23.13%,936,64.0,1583,61.0,0.29%,0.78%,True
07/26/22,MELI,07-29-2022,740.49,720.8408,727.79,743.85,550376,-4.87%,180,800.0,405,550.0,-4.59%,-1.72%,True
07/26/22,MP,08-19-2022,30.78,30.18,30.23,31.2,15132675,480.28%,2991,35.0,3050,25.0,-3.02%,-1.79%,True
07/26/22,MRK,07-29-2022,91.4,90.6,91.29,91.95,6414143,-24.39%,1430,96.0,1519,88.0,0.84%,-0.12%,True
07/26/22,MRNA,07-29-2022,166.3,159.905,160.9,166.3,2884682,-6.58%,1717,200.0,1078,140.0,-2.89%,-3.25%,True
07/26/22,MRO,07-29-2022,23.62,22.645,22.91,23.8,11630468,-12.01%,6577,25.0,1074,16.0,-1.16%,-3.01%,True
07/26/22,MRVL,07-29-2022,50.5001,48.97,49.48,50.97,7512308,-27.83%,1299,56.0,639,34.0,-2.43%,-2.02%,True
07/26/22,MSFT,07-29-2022,259.86,249.57,251.9,259.88,39347957,68.06%,10382,270.0,9368,230.0,-2.68%,-3.06%,True
07/26/22,MU,07-29-2022,60.31,59.55,59.66,60.685,11044824,-34.17%,6870,64.0,3280,60.0,-0.81%,-1.08%,False
07/26/22,NFLX,07-29-2022,216.66,211.64,213.91,219.39,9508532,-60.12%,4683,250.0,4933,200.0,-2.11%,-1.27%,True
07/26/22,NTES,07-29-2022,96.99,93.57,94.33,98.66,1751605,-14.63%,1062,95.0,1044,80.0,-2.56%,-2.74%,True
07/26/22,NVDA,07-29-2022,168.89,164.78,165.33,169.19,39786491,-31.97%,9332,180.0,9017,165.0,-2.88%,-2.11%,True
07/26/22,OKTA,07-29-2022,98.94,91.03,91.17,98.94,1877686,0.15%,530,150.0,263,96.0,-8.04%,-7.85%,True
07/26/22,ORLY,08-19-2022,676.51,672.46,675.35,681.91,556577,44.86%,438,790.0,331,500.0,-1.44%,-0.17%,True
07/26/22,OXY,07-29-2022,65.79,61.78,62.07,66.05,20190773,9.80%,5034,65.0,15940,50.0,-3.63%,-5.65%,True
07/26/22,PDD,07-29-2022,56.24,54.413,55.16,56.8,4569791,-35.74%,2856,80.0,6389,50.0,-1.87%,-1.92%,True
07/26/22,PTON,07-29-2022,9.31,8.59,8.71,9.31,10864533,-22.28%,5379,11.0,2639,9.0,-8.80%,-6.44%,True
07/26/22,PYPL,07-29-2022,80.0304,76.71,77.04,80.22,13245434,-2.57%,13297,85.0,14646,60.0,-5.65%,-3.74%,True
07/26/22,QCOM,07-29-2022,152.62,149.81,149.97,152.7,5941787,-28.45%,2086,140.0,3433,130.0,-2.14%,-1.74%,False
07/26/22,RBLX,07-29-2022,39.44,37.86,39,39.54,15668548,-33.87%,3387,45.0,2288,35.0,-2.11%,-1.12%,True
07/26/22,REGN,08-19-2022,587.57,580,582.56,594.68,456210,-10.53%,649,760.0,1131,340.0,-0.80%,-0.85%,True
07/26/22,ROST,07-29-2022,78.42,77.67,77.96,79.43,3430117,52.00%,692,78.0,722,70.0,-5.65%,-0.59%,True
07/26/22,RRC,07-29-2022,32.68,32.41,33.1,33.92,6263520,52.40%,533,33.0,206,28.0,3.99%,1.29%,False
07/26/22,SBUX,07-29-2022,81.215,80,80.3,81.42,6587009,2.48%,1175,85.0,906,83.0,-1.47%,-1.13%,False
07/26/22,SE,07-29-2022,74,71.28,71.82,74,3901085,-26.52%,3122,73.0,660,70.0,-4.42%,-2.95%,True
07/26/22,SGEN,08-19-2022,174.14,174.14,177.51,181.75,1637879,65.01%,2317,200.0,3969,150.0,2.70%,1.94%,True
07/26/22,SHOP,07-29-2022,31.81,30.55,31.55,31.95,65071885,118.43%,7948,40.0,3554,35.0,-14.06%,-0.82%,False
07/26/22,SIRI,07-29-2022,6.38,6.37,6.38,6.49,15721098,3.05%,557,6.0,1670,6.5,0.00%,0.00%,True
07/26/22,SMH,07-29-2022,224.71,221.3,221.97,225.44,2130633,-51.04%,4047,235.0,5026,180.0,-1.51%,-1.22%,True
07/26/22,SNAP,07-29-2022,9.78,9.63,9.63,9.93,94591194,-11.81%,36840,11.0,17896,10.0,-3.22%,-1.53%,False
07/26/22,SNPS,08-19-2022,338.58,335.73,339.41,343.31,1048196,29.19%,972,360.0,651,300.0,0.52%,0.25%,True
07/26/22,SPLK,07-29-2022,103.2,97.94,98.63,103.61,2489082,48.60%,970,110.0,1685,60.0,-4.58%,-4.43%,False
07/26/22,SQ,07-29-2022,69.09,65.9,66.39,69.23,10924142,-21.38%,2814,80.0,17235,45.0,-7.06%,-3.91%,True
07/26/22,SWKS,07-29-2022,104.88,102.57,102.87,104.88,1871472,14.38%,537,100.0,278,94.0,-2.81%,-1.92%,True
07/26/22,TDG,08-19-2022,586.21,581.22,586.25,590.43,245346,-5.99%,126,650.0,1092,260.0,0.02%,0.01%,True
07/26/22,TEAM,07-29-2022,194.79,184.36,187.61,194.8,1649999,-6.94%,478,230.0,1237,115.0,-4.31%,-3.69%,True
07/26/22,TGT,07-29-2022,149.725,149.5,151.81,152.624,4619986,41.77%,1690,155.0,2866,142.0,-3.61%,1.39%,True
